| Label | nr. | Gew. | Key | O/D | Mis | Max | Gem  | P  | Sd  | RSK | Rit | Rir | AR |
|-------+-----+------+-----+-----+-----+-----+------+----+-----+-----+-----+-----+----|
| 1#    | 1   | 1    |     | 1   | 113 | 1   | 0.82 | 82 | 0.39| 0.39| 22  | 19  | 77 |
| 2     | 2   | 1    |     | 1   | 212 | 2   | 0.84 | 42 | 0.83| 0.41| 44  | 38  | 76 |
| 3     | 3   | 1    |     | 1   | 261 | 3   | 1.58 | 53 | 1.01| 0.34| 35  | 27  | 76 |
| 4     | 4   | 1    |     | 1   | 214 | 4   | 2.65 | 66 | 1.56| 0.39| 41  | 28  | 77 |
| 5     | 5   | 1    | !   | 0   |  89 | 2   | 2.00 |100 | 0.00| 0.00|  0  |  0  | 77 |
| 6     | 6   | 1    |     | 9   |1770 | 3   | 1.15 | 38 | 1.33| 0.44| 48  | 38  | 76 |
| 7     | 7   | 1    |     | 5   |1029 | 3   | 2.06 | 69 | 1.18| 0.39| 42  | 32  | 76 |
| 8#    | 8   | 1    |     | 3   | 562 | 2   | 0.74 | 37 | 0.82| 0.41| 20  | 13  | 77 |
| 9     | 9   | 1    |     | 0   |  93 | 4   | 2.99 | 75 | 1.14| 0.28| 40  | 31  | 76 |
| 10    | 10  | 1    |     | 2   | 380 | 3   | 1.54 | 51 | 1.14| 0.38| 38  | 29  | 76 |
| 11    | 11  | 1    |     | 3   | 639 | 3   | 2.28 | 76 | 1.18| 0.39| 35  | 25  | 77 |
| 12    | 12  | 1    |     | 1   | 119 | 5   | 3.26 | 65 | 1.38| 0.28| 47  | 37  | 76 |
| 13    | 13  | 1    |     | 2   | 349 | 3   | 0.86 | 29 | 0.97| 0.32| 46  | 38  | 76 |
| 14#   | 14  | 1    |     | 2   | 320 | 2   | 1.42 | 71 | 0.86| 0.43| 36  | 29  | 76 |
| 15    | 15  | 1    |     | 2   | 433 | 2   | 1.00 | 50 | 0.92| 0.46| 28  | 20  | 77 |
| 16    | 16  | 1    |     | 2   | 406 | 4   | 1.88 | 47 | 1.16| 0.29| 40  | 30  | 76 |
| 17    | 17  | 1    |     | 1   | 113 | 2   | 1.77 | 89 | 0.55| 0.28| 26  | 21  | 77 |
| 18    | 18  | 1    |     | 1   | 191 | 5   | 3.81 | 76 | 1.52| 0.30| 58  | 47  | 75 |
| 19    | 19  | 1    |     | 4   | 863 | 4   | 2.71 | 68 | 1.50| 0.37| 52  | 41  | 76 |
| 20    | 20  | 1    |     | 4   | 716 | 4   | 1.71 | 43 | 1.32| 0.33| 59  | 51  | 75 |
| 21#   | 21  | 1    |     | 1   | 145 | 3   | 2.87 | 96 | 0.49| 0.16| 18  | 14  | 77 |
| 22    | 22  | 1    |     | 1   | 222 | 5   | 2.97 | 59 | 1.58| 0.32| 46  | 34  | 76 |
| 23    | 23  | 1    |     | 6   |1243 | 2   | 0.83 | 41 | 0.71| 0.36| 35  | 29  | 76 |
| 24    | 24  | 1    |     | 6   |1119 | 3   | 2.17 | 72 | 1.09| 0.36| 48  | 40  | 76 |
| 25    | 25  | 1    |     | 8   |1471 | 4   | 1.58 | 39 | 1.73| 0.43| 42  | 28  | 77 |
